PRODUCTNAME,CATEGORY,MONTH,MONTHLYREVENUE,MONTHLYREVENUERANK,PREVIOUSMONTHSREVENUE,FIRSTMONTHREVENUE,TOTALREVENUE
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2016-06-01,1099.89,140,399.96,399.96,1499.85
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2016-07-01,599.94,176,1099.89,399.96,2099.79
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2016-08-01,799.92,157,599.94,399.96,2899.71
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2016-10-01,499.95,264,799.92,399.96,3399.66
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2016-12-01,299.97,465,499.95,399.96,3699.63
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2017-01-01,999.90,168,299.97,399.96,4699.53
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2017-02-01,99.99,509,999.90,399.96,4799.52
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2017-03-01,99.99,238,99.99,399.96,4899.51
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2017-06-01,399.96,276,99.99,399.96,5299.47
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2017-08-01,1099.89,147,399.96,399.96,6399.36
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2017-09-01,599.94,236,1099.89,399.96,6999.30
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2017-11-01,199.98,398,599.94,399.96,7199.28
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2017-12-01,1199.88,271,199.98,399.96,8399.16
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-01-01,199.98,510,1199.88,399.96,8599.14
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-02-01,1199.88,266,199.98,399.96,9799.02
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-03-01,399.96,191,1199.88,399.96,10198.98
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-04-01,699.93,27,399.96,399.96,10898.91
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-05-01,499.95,416,699.93,399.96,11398.86
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-07-01,1399.86,197,499.95,399.96,12798.72
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-08-01,199.98,556,1399.86,399.96,12998.70
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-09-01,699.93,340,199.98,399.96,13698.63
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-10-01,399.96,515,699.93,399.96,14098.59
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-11-01,1099.89,324,399.96,399.96,15198.48
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2018-12-01,699.93,566,1099.89,399.96,15898.41
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-01-01,799.92,496,699.93,399.96,16698.33
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-02-01,599.94,589,799.92,399.96,17298.27
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-03-01,399.96,359,599.94,399.96,17698.23
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-05-01,1399.86,308,399.96,399.96,19098.09
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-06-01,1099.89,331,1399.86,399.96,20197.98
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-07-01,1499.85,267,1099.89,399.96,21697.83
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-08-01,899.91,393,1499.85,399.96,22597.74
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-09-01,1099.89,372,899.91,399.96,23697.63
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-11-01,499.95,546,1099.89,399.96,24197.58
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2019-12-01,1399.86,447,499.95,399.96,25597.44
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2020-01-01,699.93,555,1399.86,399.96,26297.37
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2020-02-01,199.98,893,699.93,399.96,26497.35
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2020-03-01,99.99,436,199.98,399.96,26597.34
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2020-09-01,199.98,231,99.99,399.96,26797.32
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2020-11-01,299.97,160,199.98,399.96,27097.29
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2020-12-01,199.98,365,299.97,399.96,27297.27
NT Wireless Bluetooth Stereo Headphones M402 Green,Audio,2021-01-01,499.95,228,199.98,399.96,27797.22
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2016-02-01,899.91,222,,899.91,899.91
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2016-05-01,299.97,243,899.91,899.91,1199.88
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2016-07-01,99.99,341,299.97,899.91,1299.87
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2016-08-01,199.98,289,99.99,899.91,1499.85
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2016-10-01,999.90,155,199.98,899.91,2499.75
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2016-12-01,1199.88,220,999.90,899.91,3699.63
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2017-02-01,799.92,238,1199.88,899.91,4499.55
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2017-03-01,199.98,205,799.92,899.91,4699.53
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2017-06-01,699.93,202,199.98,899.91,5399.46
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2017-07-01,99.99,367,699.93,899.91,5499.45
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2017-08-01,199.98,348,99.99,899.91,5699.43
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2017-09-01,1199.88,143,199.98,899.91,6899.31
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2017-10-01,599.94,248,1199.88,899.91,7499.25
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2017-11-01,299.97,343,599.94,899.91,7799.22
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2017-12-01,1399.86,247,299.97,899.91,9199.08
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-01-01,99.99,578,1399.86,899.91,9299.07
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-02-01,199.98,601,99.99,899.91,9499.05
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-03-01,399.96,191,199.98,899.91,9899.01
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-05-01,899.91,285,399.96,899.91,10798.92
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-06-01,99.99,599,899.91,899.91,10898.91
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-07-01,1499.85,189,99.99,899.91,12398.76
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-08-01,699.93,345,1499.85,899.91,13098.69
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-09-01,299.97,504,699.93,899.91,13398.66
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-10-01,1699.83,224,299.97,899.91,15098.49
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-11-01,999.90,350,1699.83,899.91,16098.39
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2018-12-01,1099.89,452,999.90,899.91,17198.28
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-01-01,199.98,834,1099.89,899.91,17398.26
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-02-01,899.91,484,199.98,899.91,18298.17
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-03-01,599.94,297,899.91,899.91,18898.11
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-05-01,299.97,648,599.94,899.91,19198.08
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-06-01,199.98,706,299.97,899.91,19398.06
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-07-01,2299.77,165,199.98,899.91,21697.83
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-08-01,99.99,844,2299.77,899.91,21797.82
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-09-01,1899.81,234,99.99,899.91,23697.63
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-10-01,999.90,411,1899.81,899.91,24697.53
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-11-01,399.96,590,999.90,899.91,25097.49
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2019-12-01,299.97,910,399.96,899.91,25397.46
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2020-01-01,299.97,768,299.97,899.91,25697.43
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2020-02-01,399.96,721,299.97,899.91,26097.39
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2020-03-01,599.94,242,399.96,899.91,26697.33
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2020-05-01,599.94,309,599.94,899.91,27297.27
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2020-06-01,2199.78,100,599.94,899.91,29497.05
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2020-07-01,499.95,217,2199.78,899.91,29997.00
NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,2020-11-01,99.99,216,499.95,899.91,30096.99
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2016-01-01,499.95,257,,499.95,499.95
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2016-02-01,99.99,510,499.95,499.95,599.94
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2016-06-01,499.95,257,99.99,499.95,1099.89
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2016-09-01,999.90,145,499.95,499.95,2099.79
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2016-11-01,699.93,212,999.90,499.95,2799.72
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2016-12-01,799.92,298,699.93,499.95,3599.64
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2017-01-01,199.98,402,799.92,499.95,3799.62
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2017-02-01,999.90,195,199.98,499.95,4799.52
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2017-03-01,199.98,205,999.90,499.95,4999.50
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2017-06-01,99.99,412,199.98,499.95,5099.49
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2017-08-01,99.99,395,99.99,499.95,5199.48
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2017-10-01,499.95,275,99.99,499.95,5699.43
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2017-11-01,599.94,252,499.95,499.95,6299.37
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2017-12-01,499.95,468,599.94,499.95,6799.32
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-01-01,499.95,361,499.95,499.95,7299.27
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-02-01,99.99,682,499.95,499.95,7399.26
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-05-01,499.95,416,99.99,499.95,7899.21
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-06-01,199.98,510,499.95,499.95,8099.19
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-07-01,499.95,364,199.98,499.95,8599.14
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-08-01,899.91,280,499.95,499.95,9499.05
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-09-01,499.95,421,899.91,499.95,9999.00
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-10-01,1199.88,286,499.95,499.95,11198.88
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-11-01,1499.85,261,1199.88,499.95,12698.73
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2018-12-01,499.95,670,1499.85,499.95,13198.68
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-01-01,99.99,956,499.95,499.95,13298.67
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-02-01,1099.89,423,99.99,499.95,14398.56
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-03-01,499.95,325,1099.89,499.95,14898.51
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-05-01,1699.83,266,499.95,499.95,16598.34
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-06-01,599.94,463,1699.83,499.95,17198.28
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-07-01,1199.88,322,599.94,499.95,18398.16
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-08-01,1699.83,258,1199.88,499.95,20097.99
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-09-01,1299.87,323,1699.83,499.95,21397.86
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-10-01,1099.89,395,1299.87,499.95,22497.75
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-11-01,799.92,429,1099.89,499.95,23297.67
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2019-12-01,1099.89,525,799.92,499.95,24397.56
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2020-01-01,3599.64,161,1099.89,499.95,27997.20
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2020-02-01,1499.85,374,3599.64,499.95,29497.05
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2020-04-01,699.93,76,1499.85,499.95,30196.98
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2020-05-01,99.99,585,699.93,499.95,30296.97
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2020-06-01,499.95,308,99.99,499.95,30796.92
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2020-07-01,199.98,306,499.95,499.95,30996.90
NT Wireless Bluetooth Stereo Headphones M402 Red,Audio,2020-12-01,99.99,430,199.98,499.95,31096.89
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2016-01-01,199.98,356,,199.98,199.98
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2016-02-01,199.98,442,199.98,199.98,399.96
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2016-10-01,999.90,155,199.98,199.98,1399.86
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2016-11-01,99.99,414,999.90,199.98,1499.85
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2016-12-01,99.99,617,99.99,199.98,1599.84
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2017-01-01,499.95,275,99.99,199.98,2099.79
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2017-02-01,399.96,353,499.95,199.98,2499.75
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2017-05-01,999.90,149,399.96,199.98,3499.65
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2017-06-01,299.97,305,999.90,199.98,3799.62
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2017-07-01,299.97,276,299.97,199.98,4099.59
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2017-08-01,299.97,301,299.97,199.98,4399.56
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2017-09-01,299.97,323,299.97,199.98,4699.53
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2017-11-01,699.93,231,299.97,199.98,5399.46
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2017-12-01,699.93,388,699.93,199.98,6099.39
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2018-01-01,1299.87,207,699.93,199.98,7399.26
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2018-02-01,1199.88,266,1299.87,199.98,8599.14
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2018-03-01,99.99,301,1199.88,199.98,8699.13
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2018-05-01,799.92,318,99.99,199.98,9499.05
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2018-07-01,299.97,440,799.92,199.98,9799.02
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2018-08-01,599.94,377,299.97,199.98,10398.96
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2018-10-01,499.95,474,599.94,199.98,10898.91
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2018-12-01,1399.86,389,499.95,199.98,12298.77
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-01-01,699.93,526,1399.86,199.98,12998.70
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-02-01,1399.86,349,699.93,199.98,14398.56
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-03-01,399.96,359,1399.86,199.98,14798.52
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-05-01,1599.84,278,399.96,199.98,16398.36
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-06-01,899.91,375,1599.84,199.98,17298.27
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-07-01,799.92,417,899.91,199.98,18098.19
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-08-01,1199.88,321,799.92,199.98,19298.07
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-09-01,199.98,741,1199.88,199.98,19498.05
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-10-01,1199.88,359,199.98,199.98,20697.93
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-11-01,99.99,839,1199.88,199.98,20797.92
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2019-12-01,299.97,910,99.99,199.98,21097.89
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2020-01-01,399.96,711,299.97,199.98,21497.85
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2020-02-01,299.97,799,399.96,199.98,21797.82
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2020-05-01,299.97,427,299.97,199.98,22097.79
NT Wireless Bluetooth Stereo Headphones M402 Silver,Audio,2021-01-01,199.98,326,299.97,199.98,22297.77
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2016-01-01,1049.93,169,,1049.93,1049.93
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2016-07-01,449.97,215,1049.93,1049.93,1499.90
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2017-01-01,899.94,183,449.97,1049.93,2399.84
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2017-02-01,299.98,394,899.94,1049.93,2699.82
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2017-08-01,449.97,254,299.98,1049.93,3149.79
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2017-09-01,749.95,211,449.97,1049.93,3899.74
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2017-11-01,1649.89,106,749.95,1049.93,5549.63
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2017-12-01,2549.83,138,1649.89,1049.93,8099.46
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-01-01,899.94,270,2549.83,1049.93,8999.40
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-02-01,1049.93,291,899.94,1049.93,10049.33
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-03-01,299.98,214,1049.93,1049.93,10349.31
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-05-01,299.98,492,299.98,1049.93,10649.29
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-06-01,1649.89,163,299.98,1049.93,12299.18
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-07-01,149.99,535,1649.89,1049.93,12449.17
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-08-01,4649.69,49,149.99,1049.93,17098.86
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-09-01,1349.91,224,4649.69,1049.93,18448.77
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-10-01,899.94,349,1349.91,1049.93,19348.71
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-11-01,1199.92,306,899.94,1049.93,20548.63
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2018-12-01,2999.80,192,1199.92,1049.93,23548.43
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-01-01,899.94,470,2999.80,1049.93,24448.37
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-02-01,1799.88,283,899.94,1049.93,26248.25
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-03-01,449.97,344,1799.88,1049.93,26698.22
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-04-01,299.98,107,449.97,1049.93,26998.20
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-06-01,1049.93,339,299.98,1049.93,28048.13
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-07-01,449.97,544,1049.93,1049.93,28498.10
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-08-01,1199.92,319,449.97,1049.93,29698.02
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-09-01,749.95,469,1199.92,1049.93,30447.97
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-10-01,449.97,611,749.95,1049.93,30897.94
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-11-01,1199.92,337,449.97,1049.93,32097.86
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2019-12-01,1049.93,532,1199.92,1049.93,33147.79
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2020-01-01,899.94,492,1049.93,1049.93,34047.73
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2020-02-01,2849.81,221,899.94,1049.93,36897.54
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2020-07-01,149.99,331,2849.81,1049.93,37047.53
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2020-10-01,149.99,200,149.99,1049.93,37197.52
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2020-11-01,149.99,203,149.99,1049.93,37347.51
NT Wireless Transmitter and Bluetooth Headphones M150 Black,Audio,2020-12-01,299.98,309,149.99,1049.93,37647.49
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2016-01-01,599.96,234,,599.96,599.96
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2016-05-01,149.99,315,599.96,599.96,749.95
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2016-08-01,899.94,145,149.99,599.96,1649.89
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2016-10-01,449.97,276,899.94,599.96,2099.86
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2016-11-01,449.97,275,449.97,599.96,2549.83
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2016-12-01,449.97,405,449.97,599.96,2999.80
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2017-02-01,599.96,274,449.97,599.96,3599.76
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2017-06-01,599.96,226,599.96,599.96,4199.72
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2017-08-01,1349.91,124,599.96,599.96,5549.63
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2017-10-01,899.94,190,1349.91,599.96,6449.57
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2017-11-01,149.99,419,899.94,599.96,6599.56
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2017-12-01,299.98,556,149.99,599.96,6899.54
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-01-01,599.96,323,299.98,599.96,7499.50
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-02-01,149.99,639,599.96,599.96,7649.49
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-03-01,149.99,270,149.99,599.96,7799.48
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-05-01,1799.88,148,149.99,599.96,9599.36
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-06-01,1799.88,147,1799.88,599.96,11399.24
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-07-01,299.98,439,1799.88,599.96,11699.22
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-08-01,599.96,376,299.98,599.96,12299.18
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-09-01,299.98,502,599.96,599.96,12599.16
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-10-01,1499.90,246,299.98,599.96,14099.06
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-11-01,449.97,532,1499.90,599.96,14549.03
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2018-12-01,1799.88,324,449.97,599.96,16348.91
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-01-01,2699.82,198,1799.88,599.96,19048.73
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-02-01,899.94,483,2699.82,599.96,19948.67
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-03-01,2399.84,101,899.94,599.96,22348.51
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-05-01,749.95,471,2399.84,599.96,23098.46
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-06-01,599.96,461,749.95,599.96,23698.42
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-07-01,899.94,384,599.96,599.96,24598.36
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-08-01,749.95,441,899.94,599.96,25348.31
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-09-01,1799.88,246,749.95,599.96,27148.19
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-10-01,1049.93,399,1799.88,599.96,28198.12
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-11-01,2099.86,217,1049.93,599.96,30297.98
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2019-12-01,899.94,577,2099.86,599.96,31197.92
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2020-01-01,1349.91,378,899.94,599.96,32547.83
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2020-02-01,1799.88,330,1349.91,599.96,34347.71
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2020-03-01,1349.91,146,1799.88,599.96,35697.62
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2020-04-01,899.94,65,1349.91,599.96,36597.56
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2020-05-01,149.99,546,899.94,599.96,36747.55
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Audio,2020-06-01,1349.91,153,149.99,599.96,38097.46
